"DIAC_shift","DIAC_dens","X","Y","CLIM_tmax_diff_abs","DEM_elev_mn","DEM_slope_mn","DEM_TPI_mn","DEM_TWI_mn","LITH_PSed","LITH_PCry","LITH_shannon","CA_core_mn_15","AGG_clumpy_15","GP_grazed_wood","FOREST_conif","FOREST_decid","FOREST_mixed"
100,3.04,952184.552,4719836.1,2,2177,36,-0.00024,0.09,8.35751580531601e-12,0.999998988740588,0.693147180781358,0.0144701612903226,0.908031408168624,0,1,0,0
180,4.271,939665.562,4711184.27,2.15376344086022,2216,30,0.00011,0.17,0.0418024990347125,0.958200978273909,0.692919345651413,0.00811689189189189,0.900093149910924,0,1,0,0
29.5999999999999,6.889,913435.596,4729480.41,2.56774193548387,2216,28,0.00021,0.2,0.700679601288969,8.35540769380479e-12,0.539720794987768,0.0154151162790698,0.942347860431274,0,1,0,0
-212,-0.565,929521.395,4715374.97,2.1763440860215,2116,31,-0.002,0.19,8.35805688349756e-12,1.00000014208697,0.693147180781496,0.00562159090909091,0.932819031522074,0,1,0,0
84,3.836,952557.003,4719818.82,2.00107526881721,2228,32,0.00114,0.09,8.35752125346906e-12,0.999998988739928,0.693147180781358,0.0223839743589744,0.9094882674863,0,1,0,0
21.5999999999999,2.212,913547.936,4729213.54,2.56344086021505,2172,26,-0.00034,0.21,0.999998554506353,8.35545460829516e-12,6.64461761479101e-10,0.0160835526315789,0.942120692851436,0,1,0,0
1.59999999999991,1.679,913451.316,4728850,2.47634408602151,2198,23,0.006,0.23,0.98090472736942,0.0190943618792166,0.09308059559895,0.0182630952380952,0.949403263582275,0,1,0,0
-19.5999999999999,3.55,897796.57,4723835.51,2.14408602150538,2237,27,0.01,0.09,0.0122310137931943,8.35622996050712e-12,0.693128252513584,0.0530083333333333,0.959389471502118,0,0,1,0
192.4,3.273,868139.293,4739265.45,1.9258064516129,1478,28,0.008,0.15,8.35337349401415e-12,8.35337349401415e-12,0.922488014366078,0.09789,0.982021274176993,0,0,1,0
6.20000000000005,2.621,886844.448,4735195,2.1247311827957,1811,24,-0.00105,0.18,8.3537864656563e-12,0.769373608697749,0.963163180714205,0.00613125,0.908093806715938,0,0,0,1
-30.8000000000002,-0.372,896320.405,4726300.48,2.14731182795699,2175,14,-0.00026,0.1,8.35570329181705e-12,0.429506829262525,1.03473486971058,0.0100057142857143,0.943084052935126,0,1,0,0
-18.4000000000001,1.165,897482.293,4726406.64,2.32043010752688,2286,19,-0.00063,0.11,8.35552882083418e-12,0.00236931046349338,0.701491857558638,0.009625,0.932930514324547,0,1,0,0
13,0.972,836487.763,4747436.09,1.66559139784946,1548,35,0.00167,0.08,0.0839627225938231,8.35223011476415e-12,0.692186731032385,0.653375,0.996931087597501,0,0,1,0
145.8,0.676,839394.071,4744486.53,1.70107526881721,1439,41,0.00033,0.07,0.0309100326883733,8.35274225247448e-12,0.693024000093194,0.156335,0.985918774071736,0,0,1,0
13.5999999999999,0.332,859386.379,4746399.6,1.95913978494624,1575,24,0.00015,0.11,8.35161383286819e-12,8.35161383286819e-12,0.889529926748536,0.599983333333333,0.995165204510411,0,0,1,0
-18.2,8.205,907349.554,4732614.35,2.30860215053763,1912,24,-0.00071,0.13,0.204512984192059,8.35509131400446e-12,0.906264992013211,0.105693333333333,0.985898309937137,0,0,0,1
43,3.352,895369.498,4726595.41,2.06666666666667,2111,37,-0.00047,0.11,8.35572647138348e-12,0.903702424906188,0.851583682779848,0.00654807692307692,0.92787273402175,0,1,0,0
1.80000000000018,4.47,898028.074,4726873.38,2.3752688172043,2370,32,0.00146,0.1,8.35545167612408e-12,0.579351937632168,1.03339714957266,0.00509017857142857,0.916778636274794,0,1,0,0
1.20000000000027,0.826,897850.31,4726606.79,2.37096774193548,2292,21,-0.00131,0.17,8.35550089498277e-12,0.097099735453144,0.852478475440087,0.0162076923076923,0.958114248156421,0,1,0,0
6.20000000000005,1.257,884612.302,4751938.92,2.07096774193548,1506,28,0.00084,0.1,8.35142056160497e-12,0.99999999164858,0.69314718078133,0.171546875,0.986268018148565,0,0,1,0
200,2.388,835748.199,4746136.17,1.65591397849462,1619,42,0.00224,0.04,0.33058928572577,8.35243458559074e-12,0.673409761645675,0.0611375,0.968314451795376,0,0,1,0
-10.4000000000001,0.446,898129.135,4724227,2.23978494623656,2272,28,0.002,0.16,0.277988454836463,8.35616634897776e-12,0.680059886528688,0.0113325,0.951804340783486,0,0,1,0
-32.6000000000004,3.091,893661.428,4716775.65,2.36559139784946,2301,32,0.00086,0.09,0.103898040322865,0.697948687017665,0.941336124559952,0.00346176470588235,0.857686689750148,0,0,1,0
23.4000000000001,3.252,920163.172,4707567.84,2.36774193548387,2385,23,0.00139,0.15,1.00000044304555,8.35935006889149e-12,6.64759938209369e-10,0.00894677419354839,0.889459859581609,0,1,0,0
-7,-0.694,904607.072,4717990.37,2.27096774193549,2029,23,-0.00017,0.19,8.35732442598553e-12,1.00001848640163,0.693147180738761,0.00976944444444445,0.916121222254403,0,0,1,0
6,2.106,898829.934,4718908.83,2.3010752688172,2279,14,-0.00012,0.21,8.35710148710275e-12,0.999976834114678,0.693147180714393,0.00583208333333333,0.883986699899837,0,1,0,0
42.8000000000002,6.661,912027.78,4729073.6,2.52258064516129,2327,21,0.00024,0.24,8.35546661625535e-12,8.35546661625535e-12,0.693147180781231,0.0222851351351351,0.924941665049114,0,1,0,0
